locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
EKN05_000135	EKN05_000135	7	CP037923	31109	31854	+		NADPH-dependent ferric chelate reductase	0.5603	32	False
EKN05_000140	EKN05_000140	5	CP037923	31908	31983	-		tRNA-Met	0.5921	3	False
EKN05_000145	EKN05_000145	1	CP037923	32108	32614	+		G/U mismatch-specific DNA glycosylase	0.5365	15	False
EKN05_000150	EKN05_000150	1	CP037923	32648	33976	-		IS4 family transposase	0.5418	42	False
EKN05_000155	EKN05_000155	1	CP037923	34132	35973	-		RNA polymerase sigma factor RpoD	0.5293	48	False
EKN05_000160	EKN05_000160	1	CP037923	36168	37913	-		DNA primase	0.5229	65	False
EKN05_000165	EKN05_000165	1	CP037923	38024	38239	-		30S ribosomal protein S21	0.5185	10	False
EKN05_000170	EKN05_000170	1	CP037923	38477	39490	+		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	0.57	41	False
EKN05_000175	EKN05_000175	1	CP037923	39533	40996	-		L-tartrate/succinate antiporter	0.5553	57	False
EKN05_000180	EKN05_000180	1	CP037923	41044	41649	-		L(+)-tartrate dehydratase subunit beta	0.5347	16	False
EKN05_000185	EKN05_000185	7	CP037923	41646	42489	-		L(+)-tartrate dehydratase subunit alpha	0.532	32	False
EKN05_000190	EKN05_000190	7	CP037923	42696	43627	+		DNA-binding transcriptional activator TtdR	0.4957	44	False
EKN05_000195	EKN05_000195	1	CP037923	43640	44257	-		glycerol-3-phosphate 1-O-acyltransferase PlsY	0.534	18	False
EKN05_000200	EKN05_000200	1	CP037923	44362	44730	+		bifunctional dihydroneopterin aldolase/7,8-dihydroneopterin epimerase	0.5068	18	False
EKN05_000205	EKN05_000205	1	CP037923	44821	45642	+		undecaprenyl-diphosphate phosphatase	0.5255	32	False
EKN05_000210	EKN05_000210	1	CP037923	45805	47043	-		fused tRNA nucleotidyltransferase/2',3'-cyclic phosphodiesterase/2' nucleotidase/phosphatase Cca	0.5626	37	False
EKN05_000215	EKN05_000215	1	CP037923	47107	47727	-		SH3 domain-containing protein	0.5233	23	False
EKN05_000220	EKN05_000220	1	CP037923	47969	49270	+		inorganic triphosphatase	0.5461	50	False
EKN05_000225	EKN05_000225	1	CP037923	49293	52133	+		bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	0.5533	97	False
EKN05_000230	EKN05_000230	1	CP037923	52181	53614	+		bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE	0.5642	43	False
EKN05_000235	EKN05_000235	1	CP037923	53734	53793	-		type I toxin-antitoxin system toxin IbsE	0.3667	5	False
EKN05_000240	EKN05_000240	1	CP037923	54110	54169	-		type I toxin-antitoxin system Ibs family toxin	0.3667	5	False
EKN05_000245	EKN05_000245	1	CP037923	54408	55316	-		hypothetical protein	0.5204	31	False
EKN05_000250	EKN05_000250	7	CP037923	55350	56047	-		IS1 family transposase	0.5272	28	False
EKN05_000255	EKN05_000255	7	CP037923	56126	56823	-		IS1 family transposase	0.5315	26	False
EKN05_000260	EKN05_000260	7	CP037923	56874	58093	-		IS3-like element IS2 family transposase	0.5393	48	False
EKN05_000265	EKN05_000265	1	CP037923	58304	58594	-		accessory factor UbiK family protein	0.4948	6	False
EKN05_000270	EKN05_000270	1	CP037923	58968	59621	+		3,4-dihydroxy-2-butanone-4-phosphate synthase	0.5275	24	False
EKN05_000275	EKN05_000275	1	CP037923	60110	60883	-		zinc transporter ZupT	0.5336	29	False
EKN05_000280	EKN05_000280	1	CP037923	60999	61814	+		4,5-DOPA dioxygenase extradiol	0.5368	41	False
EKN05_000285	EKN05_000285	1	CP037923	61852	63012	-		glutathionylspermidine synthase family protein	0.5056	42	False
EKN05_000290	EKN05_000290	1	CP037923	63018	63689	-		DUF1190 family protein	0.561	19	False
EKN05_000295	EKN05_000295	1	CP037923	63837	65318	-		outer membrane channel protein TolC	0.5142	78	False
EKN05_000300	EKN05_000300	1	CP037923	65523	66152	+		ADP-ribose diphosphatase	0.5048	24	False
EKN05_000305	EKN05_000305	1	CP037923	66153	66575	+		DUF1249 family protein	0.487	20	False
EKN05_000310	EKN05_000310	1	CP037923	66600	67427	+		3',5'-cyclic-AMP phosphodiesterase	0.5616	30	False
EKN05_000315	EKN05_000315	1	CP037923	67427	68008	+		esterase YqiA	0.5378	22	False
EKN05_000320	EKN05_000320	1	CP037923	68037	69929	+		DNA topoisomerase IV subunit B	0.5383	73	False
EKN05_000325	EKN05_000325	1	CP037923	69977	70291	-		antibiotic biosynthesis monooxygenase	0.5143	14	False
EKN05_000330	EKN05_000330	1	CP037923	70322	70903	-		NADPH:quinone oxidoreductase MdaB	0.5	23	False
EKN05_000335	EKN05_000335	1	CP037923	71222	71554	+		DUF2645 family protein	0.3423	32	False
EKN05_000340	EKN05_000340	1	CP037923	71600	72949	-		two-component system sensor histidine kinase QseC	0.5259	50	False
EKN05_000345	EKN05_000345	1	CP037923	72946	73605	-		two-component system response regulator QseB	0.5136	33	False
EKN05_000350	EKN05_000350	1	CP037923	73757	74149	+		OB fold stress tolerance protein YgiW	0.5064	15	False
EKN05_000355	EKN05_000355	1	CP037923	74202	74684	+		AraC family transcriptional regulator	0.528	19	False
EKN05_000360	EKN05_000360	1	CP037923	75230	77488	+		DNA topoisomerase 4 subunit A	0.5476	83	False
EKN05_000365	EKN05_000365	1	CP037923	77722	78459	+		1-acylglycerol-3-phosphate O-acyltransferase	0.4946	35	False
EKN05_000370	EKN05_000370	1	CP037923	78534	79946	+		cell division protein FtsP	0.564	52	False
EKN05_000375	EKN05_000375	7	CP037923	80057	80897	+		radical SAM protein	0.5493	37	False
EKN05_000380	EKN05_000380	7	CP037923	81180	82235	+		DUF3362 domain-containing protein	0.5246	46	False
EKN05_000385	EKN05_000385	1	CP037923	82278	82535	-		lipoprotein YqhH	0.4767	10	False
EKN05_000390	EKN05_000390	1	CP037923	82586	83512	-		DUF3828 domain-containing protein	0.4639	49	False
EKN05_000395	EKN05_000395	1	CP037923	83712	84539	-		2,5-didehydrogluconate reductase DkgA	0.5121	27	False
EKN05_000400	EKN05_000400	1	CP037923	84644	85807	-		alcohol dehydrogenase	0.5464	40	False
EKN05_000405	EKN05_000405	7	CP037923	85944	86899	+		AraC family transcriptional regulator	0.5021	44	False
EKN05_000410	EKN05_000410	1	CP037923	86939	87598	-		DedA family protein	0.5091	29	False
EKN05_000415	EKN05_000415	1	CP037923	87738	88925	-		cystathionine beta-lyase	0.5168	44	False
EKN05_000420	EKN05_000420	1	CP037923	89177	89911	+		biopolymer transporter ExbB	0.5293	36	False
EKN05_000425	EKN05_000425	1	CP037923	89918	90343	+		TonB system transport protein ExbD	0.5	20	False
EKN05_000430	EKN05_000430	1	CP037923	90615	91499	-		NADP(+)-dependent aldehyde reductase	0.5458	34	False
EKN05_000435	EKN05_000435	1	CP037923	91690	92184	+		TIGR00645 family protein	0.4727	17	False
EKN05_000440	EKN05_000440	1	CP037923	92224	93264	-		L-glyceraldehyde 3-phosphate reductase	0.5197	49	False
EKN05_000445	EKN05_000445	1	CP037923	93421	94308	+		dienelactone hydrolase family protein	0.5158	44	False
EKN05_000450	EKN05_000450	1	CP037923	94427	94714	+		DUF2623 domain-containing protein	0.4549	20	False
EKN05_000455	EKN05_000455	1	CP037923	94903	96021	+		hydrogenase 2 small subunit	0.5442	39	False
EKN05_000460	EKN05_000460	1	CP037923	96024	97010	+		hydrogenase 2 operon protein HybA	0.5461	39	False
EKN05_000465	EKN05_000465	1	CP037923	97000	98178	+		Ni/Fe-hydrogenase cytochrome b subunit	0.5445	35	False
EKN05_000470	EKN05_000470	1	CP037923	98175	99878	+		hydrogenase 2 large subunit	0.5335	64	False
EKN05_000475	EKN05_000475	1	CP037923	99878	100372	+		HyaD/HybD family hydrogenase maturation endopeptidase	0.5475	11	False
EKN05_000480	EKN05_000480	1	CP037923	100365	100853	+		hydrogenase-2 assembly chaperone	0.5481	9	True
EKN05_000485	EKN05_000485	1	CP037923	100846	101187	+		hydrogenase maturation nickel metallochaperone HypA	0.5556	10	False
EKN05_000490	EKN05_000490	1	CP037923	101321	101569	+		hydrogenase 2 maturation protein	0.5341	10	False
EKN05_000495	EKN05_000495	1	CP037923	101692	102558	-		glutathione-dependent disulfide-bond oxidoreductase	0.5375	32	True
EKN05_000500	EKN05_000500	1	CP037923	102763	104622	+		bifunctional glutathionylspermidine amidase/synthase	0.5226	72	False
EKN05_000505	EKN05_000505	7	CP037923	104914	105180	+		inorganic phosphate transporter	0.4307	19	False
EKN05_000510	EKN05_000510	7	CP037923	105194	105891	-		IS1 family transposase	0.5301	27	False
EKN05_000515	EKN05_000515	7	CP037923	106232	107373	+		N-acetyltransferase	0.5	42	False
EKN05_000520	EKN05_000520	7	CP037923	107497	108274	-		transcriptional regulator GlcC	0.5501	20	False
EKN05_000525	EKN05_000525	7	CP037923	108525	110024	+		glycolate oxidase subunit GlcD	0.5627	44	False
EKN05_000530	EKN05_000530	1	CP037923	110024	111076	+		glycolate oxidase subunit GlcE	0.5755	33	False
EKN05_000535	EKN05_000535	7	CP037923	111087	112306	+		glycolate oxidase subunit GlcF	0.5574	38	False
EKN05_000540	EKN05_000540	1	CP037923	112311	112715	+		protein GlcG	0.5506	15	False
EKN05_000545	EKN05_000545	1	CP037923	112737	114908	+		malate synthase G	0.535	78	False
EKN05_000550	EKN05_000550	1	CP037923	115263	116858	+		glycolate permease glcA	0.5269	74	False
EKN05_000555	EKN05_000555	1	CP037923	117505	117684	+		hypothetical protein	0.2778	13	False
EKN05_000560	EKN05_000560	7	CP037923	118243	118940	+		IS1 family transposase	0.5287	28	False
EKN05_000565	EKN05_000565	1	CP037923	119079	119324	-		hypothetical protein	0.5772	5	False
EKN05_000570	EKN05_000570	5	CP037923	119969	120044	-		tRNA-Phe	0.5921	2	False
EKN05_000575	EKN05_000575	1	CP037923	120150	120857	-		DUF554 domain-containing protein	0.5155	32	False
EKN05_000580	EKN05_000580	7	CP037923	121255	123389	+		ornithine decarboxylase	0.5194	89	False
EKN05_000585	EKN05_000585	1	CP037923	123438	124694	-		nucleoside permease	0.4988	59	False
EKN05_000590	EKN05_000590	1	CP037923	124896	125975	-		membrane-bound lytic murein transglycosylase MltC	0.5102	52	False
EKN05_000595	EKN05_000595	1	CP037923	126040	126315	-		oxidative damage protection protein	0.4746	11	False
EKN05_000600	EKN05_000600	1	CP037923	126343	127395	-		adenine DNA glycosylase	0.5556	41	False
EKN05_000605	EKN05_000605	1	CP037923	127556	128275	+		tRNA (guanosine(46)-N7)-methyltransferase TrmB	0.5264	23	False
EKN05_000610	EKN05_000610	1	CP037923	128275	128601	+		DUF469 domain-containing protein	0.4801	12	False
EKN05_000615	EKN05_000615	1	CP037923	128785	129504	+		DUF2884 family protein	0.5264	24	False
EKN05_000620	EKN05_000620	1	CP037923	129680	130726	+		L-asparaginase 2	0.5253	54	False
EKN05_000625	EKN05_000625	1	CP037923	130843	131850	+		DUF1202 family protein	0.4474	48	False
EKN05_000630	EKN05_000630	1	CP037923	131906	133207	-		TRAP transporter large permease subunit	0.4593	76	False
EKN05_000635	EKN05_000635	1	CP037923	133207	133710	-		TRAP transporter small permease	0.4345	42	False
EKN05_000640	EKN05_000640	7	CP037923	133755	134718	-		TRAP transporter substrate-binding protein	0.4201	48	False
EKN05_000645	EKN05_000645	1	CP037923	135032	136168	-		radical SAM family heme chaperone HemW	0.5242	56	False
EKN05_000650	EKN05_000650	1	CP037923	136161	136754	-		XTP/dITP diphosphatase	0.5572	20	False
EKN05_000655	EKN05_000655	1	CP037923	136762	137052	-		YggU family protein	0.4811	15	False
EKN05_000660	EKN05_000660	1	CP037923	137049	137615	-		osmotic shock tolerance protein YggT	0.5132	24	False
EKN05_000665	EKN05_000665	1	CP037923	137633	138337	-		pyridoxal phosphate homeostasis protein	0.5121	34	False
EKN05_000670	EKN05_000670	1	CP037923	138355	139335	+		type IV pilus twitching motility protein PilT	0.5474	34	False
EKN05_000675	EKN05_000675	1	CP037923	139511	139927	-		Holliday junction resolvase RuvX	0.5324	17	False
EKN05_000680	EKN05_000680	1	CP037923	139927	140490	-		YqgE/AlgH family protein	0.5124	16	False
EKN05_000685	EKN05_000685	1	CP037923	140599	141549	-		glutathione synthase	0.5352	34	False
EKN05_000690	EKN05_000690	1	CP037923	141562	142293	-		16S rRNA (uracil(1498)-N(3))-methyltransferase	0.5273	27	False
EKN05_000695	EKN05_000695	1	CP037923	142373	143080	-		deoxyribonuclease I	0.5466	30	False
EKN05_000700	EKN05_000700	1	CP037923	143175	143672	-		SprT family zinc-dependent metalloprotease	0.5542	20	False
EKN05_000705	EKN05_000705	1	CP037923	143749	145143	-		sugar porter family MFS transporter	0.5326	50	False
EKN05_000710	EKN05_000710	1	CP037923	145580	146734	-		methionine adenosyltransferase	0.5333	35	False
EKN05_000715	EKN05_000715	1	CP037923	146790	147041	+		DUF2684 family protein	0.4325	14	False
EKN05_000720	EKN05_000720	1	CP037923	147038	147253	-		hypothetical protein	0.4861	9	False
EKN05_000725	EKN05_000725	1	CP037923	147389	147520	+		virulence promoting factor	0.4242	8	False
EKN05_000730	EKN05_000730	1	CP037923	147529	149505	+		biosynthetic arginine decarboxylase	0.5382	75	False
EKN05_000735	EKN05_000735	7	CP037923	149652	150349	+		IS1 family transposase	0.5272	27	False
EKN05_000740	EKN05_000740	7	CP037923	150366	150749	+		hypothetical protein	0.5	23	False
EKN05_000745	EKN05_000745	1	CP037923	150885	151805	+		agmatinase	0.5559	34	False
EKN05_000750	EKN05_000750	1	CP037923	152006	152764	-		metalloprotease	0.5257	30	False
EKN05_000755	EKN05_000755	1	CP037923	153042	155033	+		transketolase	0.5612	68	False
EKN05_000760	EKN05_000760	1	CP037923	155079	155987	-		prohibitin family protein	0.4884	44	False
EKN05_000765	EKN05_000765	7	CP037923	156350	157047	+		IS1 family transposase	0.5287	27	False
EKN05_000770	EKN05_000770	7	CP037923	157254	157951	+		IS1 family transposase	0.5272	29	False
EKN05_000775	EKN05_000775	1	CP037923	157944	159194	+		L-sorbose 1-phosphate reductase	0.5052	66	False
EKN05_000780	EKN05_000780	1	CP037923	159191	160156	+		class II fructose-bisphosphatase	0.5621	37	False
EKN05_000785	EKN05_000785	1	CP037923	160178	160687	+		fumarase E	0.4824	25	False
EKN05_000790	EKN05_000790	1	CP037923	160684	161397	+		nucleoside/nucleotide kinase family protein	0.542	26	False
EKN05_000795	EKN05_000795	1	CP037923	161369	162046	-		sulfate/molybdate ABC transporter ATP-binding protein	0.531	22	False
EKN05_000800	EKN05_000800	1	CP037923	162040	162717	-		energy-coupling factor ABC transporter ATP-binding protein	0.5442	21	False
EKN05_000805	EKN05_000805	1	CP037923	162705	163088	-		energy-coupling factor transporter transmembrane protein EcfT	0.5417	21	False
EKN05_000810	EKN05_000810	1	CP037923	163104	163412	-		hypothetical protein	0.5696	13	False
EKN05_000815	EKN05_000815	1	CP037923	163413	163991	-		ECF transporter S component	0.5665	26	False
EKN05_000820	EKN05_000820	1	CP037923	164014	164445	-		DUF296 domain-containing protein	0.5486	17	False
EKN05_000825	EKN05_000825	1	CP037923	164817	165836	+		erythrose-4-phosphate dehydrogenase	0.5127	44	False
EKN05_000830	EKN05_000830	1	CP037923	165886	167049	+		phosphoglycerate kinase	0.5241	47	False
EKN05_000835	EKN05_000835	1	CP037923	167264	168343	+		class II fructose-bisphosphate aldolase	0.5102	45	False
EKN05_000840	EKN05_000840	1	CP037923	168534	169394	+		small-conductance mechanosensitive channel MscS	0.4983	48	False
EKN05_000845	EKN05_000845	1	CP037923	169533	170168	+		arginine exporter ArgO	0.5063	30	False
EKN05_000850	EKN05_000850	1	CP037923	170261	171001	+		oxidative stress defense protein	0.5236	34	False
EKN05_000855	EKN05_000855	1	CP037923	171168	171590	+		LysR family transcriptional regulator	0.409	30	False
EKN05_000860	EKN05_000860	1	CP037923	171600	172118	+		hypothetical protein	0.4798	25	False
EKN05_000865	EKN05_000865	1	CP037923	172060	173538	-		propionyl-CoA:succinate CoA transferase	0.5308	54	False
EKN05_000870	EKN05_000870	1	CP037923	173562	174347	-		methylmalonyl-CoA decarboxylase	0.4924	30	False
EKN05_000875	EKN05_000875	1	CP037923	174358	175353	-		methylmalonyl Co-A mutase-associated GTPase MeaB	0.5392	42	False
EKN05_000880	EKN05_000880	1	CP037923	175346	177490	-		methylmalonyl-CoA mutase	0.5478	77	False
EKN05_000885	EKN05_000885	1	CP037923	177694	178587	-		LysR family transcriptional regulator ArgP	0.5403	31	False
EKN05_000890	EKN05_000890	1	CP037923	178970	179629	+		ribose-5-phosphate isomerase RpiA	0.5258	19	False
EKN05_000895	EKN05_000895	1	CP037923	179885	181117	+		D-3-phosphoglycerate dehydrogenase	0.5272	46	False
EKN05_000900	EKN05_000900	1	CP037923	181346	181405	+		type I toxin-antitoxin system toxin IbsC	0.35	6	False
EKN05_000905	EKN05_000905	1	CP037923	181738	181797	+		type I toxin-antitoxin system Ibs family toxin	0.3667	6	False
EKN05_000910	EKN05_000910	1	CP037923	181898	182500	-		5-formyltetrahydrofolate cyclo-ligase	0.5174	26	False
EKN05_000920	EKN05_000920	1	CP037923	182746	183075	-		cell division protein ZapA	0.4667	12	False
EKN05_000925	EKN05_000925	1	CP037923	183243	183821	+		UPF0149 family protein YgfB	0.525	19	False
EKN05_000930	EKN05_000930	1	CP037923	183847	185172	+		Xaa-Pro aminopeptidase	0.5362	48	False
EKN05_000935	EKN05_000935	1	CP037923	185169	186347	+		2-octaprenyl-6-methoxyphenyl hydroxylase	0.5971	29	False
EKN05_000940	EKN05_000940	1	CP037923	186370	187572	+		FAD-dependent 2-octaprenylphenol hydroxylase	0.5511	45	False
EKN05_000945	EKN05_000945	1	CP037923	187646	187729	-		hypothetical protein	0.2619	6	False
EKN05_000950	EKN05_000950	1	CP037923	188020	189114	+		glycine cleavage system aminomethyltransferase GcvT	0.5406	35	False
EKN05_000955	EKN05_000955	1	CP037923	189138	189527	+		glycine cleavage system protein GcvH	0.5231	18	False
EKN05_000960	EKN05_000960	1	CP037923	189646	192519	+		aminomethyl-transferring glycine dehydrogenase	0.5592	102	False
EKN05_000965	EKN05_000965	7	CP037923	192786	193529	+		SDR family oxidoreductase	0.547	36	False
EKN05_000970	EKN05_000970	7	CP037923	193586	195018	-		6-phospho-beta-glucosidase	0.5073	69	False
EKN05_000975	EKN05_000975	7	CP037923	195063	195373	+		ASCH domain-containing protein	0.4405	10	False
EKN05_000980	EKN05_000980	1	CP037923	195537	196196	+		hemolysin III family protein	0.5212	32	False
EKN05_000985	EKN05_000985	1	CP037923	196392	197372	-		tRNA-modifying protein YgfZ	0.5413	39	False
EKN05_000990	EKN05_000990	1	CP037923	197615	197881	+		FAD assembly factor SdhE	0.4906	9	False
EKN05_000995	EKN05_000995	1	CP037923	197862	198269	+		hypothetical protein	0.5343	14	False
EKN05_001000	EKN05_001000	1	CP037923	198309	198830	-		flavodoxin FldB	0.5096	23	False
EKN05_001005	EKN05_001005	1	CP037923	198942	199838	+		tyrosine recombinase XerD	0.5351	31	False
EKN05_001010	EKN05_001010	1	CP037923	199863	200573	+		bifunctional protein-disulfide isomerase/oxidoreductase DsbC	0.4838	33	False
EKN05_001015	EKN05_001015	1	CP037923	200579	202312	+		single-stranded-DNA-specific exonuclease RecJ	0.5663	58	False
EKN05_001020	EKN05_001020	7	CP037923	202403	203501	+		peptide chain release factor 2	0.5323	38	False
EKN05_001025	EKN05_001025	1	CP037923	203511	205028	+		lysine--tRNA ligase	0.529	62	False
EKN05_001030	EKN05_001030	1	CP037923	205071	205619	-		isopentenyl-diphosphate Delta-isomerase	0.5137	26	False
EKN05_001035	EKN05_001035	1	CP037923	205674	205745	+		hypothetical protein	0.4444	4	False
EKN05_001040	EKN05_001040	1	CP037923	205742	205867	-		hypothetical protein	0.3413	9	False
EKN05_001045	EKN05_001045	1	CP037923	205869	207317	-		purine permease	0.4879	85	False
EKN05_001050	EKN05_001050	7	CP037923	207642	208339	-		IS1 family transposase	0.5272	28	False
EKN05_001055	EKN05_001055	1	CP037923	208452	208931	-		xanthine dehydrogenase iron sulfur-binding subunit XdhC	0.5208	18	False
EKN05_001060	EKN05_001060	1	CP037923	208928	209806	-		xanthine dehydrogenase FAD-binding subunit XdhB	0.537	31	False
EKN05_001065	EKN05_001065	7	CP037923	209817	212113	-		xanthine dehydrogenase molybdenum-binding subunit XdhA	0.5311	97	False
EKN05_001070	EKN05_001070	7	CP037923	212436	213133	-		IS1 family transposase	0.5315	26	False
EKN05_001075	EKN05_001075	1	CP037923	213305	214060	+		LysM peptidoglycan-binding domain-containing protein	0.5119	43	False
EKN05_001080	EKN05_001080	5	CP037923	214139	214212	+		tRNA-Gly	0.5676	4	False
EKN05_001085	EKN05_001085	7	CP037923	214434	214979	+		hypothetical protein	0.4139	39	False
EKN05_001090	EKN05_001090	7	CP037923	215011	216173	-		IS3 family transposase	0.5383	44	False
EKN05_001095	EKN05_001095	1	CP037923	216220	216408	-		hypothetical protein	0.3968	15	False
EKN05_001100	EKN05_001100	7	CP037923	216808	218032	-		HAAAP family serine/threonine permease	0.4392	86	False
EKN05_001105	EKN05_001105	1	CP037923	218287	219468	+		acetyl-CoA C-acetyltransferase	0.5381	43	False
EKN05_001110	EKN05_001110	1	CP037923	219755	220591	+		5-dehydro-4-deoxy-D-glucuronate isomerase	0.4946	46	False
EKN05_001115	EKN05_001115	1	CP037923	220621	221382	+		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	0.5197	29	False
EKN05_001120	EKN05_001120	1	CP037923	221697	223115	+		MFS transporter	0.5123	70	False
EKN05_001125	EKN05_001125	1	CP037923	223244	223936	+		aspartate/glutamate racemase	0.5065	29	False
EKN05_001130	EKN05_001130	1	CP037923	223923	224858	-		LysR family transcriptional regulator	0.531	46	False
EKN05_001135	EKN05_001135	1	CP037923	224980	226242	+		diaminopimelate decarboxylase	0.5289	52	False
EKN05_001140	EKN05_001140	1	CP037923	226249	227280	-		HTH-type transcriptional regulator GalR	0.5213	43	False
EKN05_001145	EKN05_001145	1	CP037923	227866	230025	+		bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase	0.525	89	False
EKN05_001150	EKN05_001150	7	CP037923	230018	231209	+		lysophospholipid transporter LplT	0.5562	51	False
EKN05_001155	EKN05_001155	1	CP037923	231242	232282	-		NADP(H)-dependent aldo-keto reductase	0.5389	49	False
EKN05_001160	EKN05_001160	1	CP037923	232390	232608	-		lipoprotein YgdR	0.4338	10	False
EKN05_001165	EKN05_001165	1	CP037923	232746	233459	-		TerC family protein	0.4958	26	False
EKN05_001170	EKN05_001170	1	CP037923	233528	234217	-		DNA mismatch repair endonuclease MutH	0.5348	28	False
EKN05_001175	EKN05_001175	1	CP037923	234396	234590	-		hypothetical protein	0.441	11	False
EKN05_001180	EKN05_001180	1	CP037923	234902	235432	+		RNA pyrophosphohydrolase	0.4915	26	False
EKN05_001185	EKN05_001185	1	CP037923	235445	237691	+		phosphoenolpyruvate--protein phosphotransferase	0.5389	81	False
EKN05_001190	EKN05_001190	1	CP037923	237842	238717	+		prolipoprotein diacylglyceryl transferase	0.5297	32	False
EKN05_001195	EKN05_001195	1	CP037923	238724	239518	+		thymidylate synthase	0.5119	33	False
EKN05_001200	EKN05_001200	7	CP037923	239702	240172	+		prepilin peptidase-dependent protein	0.5372	18	False
EKN05_001205	EKN05_001205	1	CP037923	240163	240726	+		prepilin peptidase-dependent protein	0.5195	26	False
EKN05_001210	EKN05_001210	1	CP037923	240723	241130	+		DUF2509 family protein	0.5294	8	False
EKN05_001215	EKN05_001215	1	CP037923	241115	241438	+		prepilin-type N-terminal cleavage/methylation domain-containing protein	0.5556	8	False
EKN05_001220	EKN05_001220	1	CP037923	241451	244819	+		exodeoxyribonuclease V subunit gamma	0.5381	124	False
EKN05_001225	EKN05_001225	1	CP037923	244995	247883	+		pitrilysin	0.5116	131	False
EKN05_001230	EKN05_001230	1	CP037923	247876	251418	+		exodeoxyribonuclease V subunit beta	0.547	122	False
EKN05_001235	EKN05_001235	1	CP037923	251418	253244	+		exodeoxyribonuclease V subunit alpha	0.5517	62	False
EKN05_001240	EKN05_001240	1	CP037923	253306	254637	-		amino-acid N-acetyltransferase	0.527	55	False
EKN05_001245	EKN05_001245	1	CP037923	254869	256122	+		N-acetylmuramoyl-L-alanine amidase	0.5351	49	False
EKN05_001250	EKN05_001250	5	CP037923	256197	256273	-		tRNA-Met	0.6623	2	False
EKN05_001255	EKN05_001255	5	CP037923	256307	256383	-		tRNA-Met	0.6623	2	False
EKN05_001260	EKN05_001260	1	CP037923	256592	257689	+		murein transglycosylase A	0.531	55	False
EKN05_001265	EKN05_001265	1	CP037923	257928	258734	+		tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	0.5514	29	False
